category,title,district,neighborhood,location_raw,total_price,price_per_aana,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,built_year_ad,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_commercial_suspect,is_area_estimated,luxury_score,log_price,price_segment,is_incomplete_listing
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",29000000.0,7250000.0,4.0,2874.9,3.0,West,12.0,5.0,4.0,1.0,2.0,2019.0,6.0,False,11,1,1,0,0,1,0,False,False,True,3,17.182806422433504,Mid-Range,0
house, House for Sale,Lalitpur,Satdobato,"Satdobato, Lalitpur",47500000.0,15833333.333333334,3.0,3234.26,4.5,West,10.0,5.0,6.0,2.0,2.0,2019.0,6.0,False,11,1,1,0,0,1,0,False,False,True,3,17.6762402900575,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",19900000.0,8652173.913043479,2.3,1377.56,2.5,West,10.0,4.0,4.0,1.0,3.0,2003.0,22.0,False,11,1,1,0,0,1,0,False,False,True,3,16.806230339945976,Budget,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",40000000.0,5714285.714285715,7.0,4192.56,2.5,North West,12.0,4.0,3.0,4.0,4.0,2002.0,23.0,False,11,1,1,0,0,1,1,False,False,True,4,17.50439003707821,High-End,0
house,3 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",33000000.0,10312500.0,3.2,1916.6,2.5,North West,13.0,4.0,3.0,4.0,5.0,2017.0,8.0,False,11,0,1,0,0,1,0,False,False,True,2,17.312018149733785,High-End,0
house, House for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",40000000.0,9302325.581395349,4.3,2575.43,2.5,North East,14.0,5.0,4.0,1.0,2.0,2008.0,17.0,False,11,1,1,0,0,1,0,False,False,True,3,17.50439003707821,High-End,0
house, House for Sale,Kathmandu,Gyaneshwor,"Gyaneshwor, Kathmandu",45000000.0,20454545.454545453,2.2,2898.86,5.5,West,10.0,13.0,5.0,1.0,3.0,2009.0,16.0,False,11,1,1,0,0,1,0,False,False,True,3,17.622173069956816,High-End,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",30000000.0,6000000.0,5.0,3593.62,3.0,East,12.0,5.0,5.0,2.0,2.0,2018.0,7.0,False,11,0,1,1,0,1,0,False,False,True,3,17.216707972959764,Mid-Range,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",49900000.0,9596153.846153846,5.2,3737.37,3.0,North East,13.0,6.0,5.0,0.0,0.0,2022.0,3.0,False,11,0,1,0,0,1,0,False,False,True,2,17.725531580761828,Ultra-Luxury,0
house, House for Sale,Kathmandu,Kharibot,"Kharibot, Kathmandu",24500000.0,8166666.666666667,3.0,1796.81,2.5,South,16.0,4.0,2.0,0.0,2.0,2013.0,12.0,False,11,0,1,1,0,0,0,False,False,True,2,17.01418371633128,Budget,0
house,Bungalow House for Sale,Kathmandu,Bafal,"Bafal, Kathmandu",25000000.0,6250000.0,4.0,3833.2,4.0,South East,13.0,4.0,5.0,0.0,3.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house,4 BHK House for Sale,Lalitpur,Khumaltar,"Khumaltar, Lalitpur",42500000.0,10625000.0,4.0,2395.75,2.5,South East,20.0,4.0,4.0,0.0,0.0,2021.0,4.0,False,11,0,1,0,0,1,0,False,False,True,2,17.565014657424058,High-End,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",65000000.0,10483870.967741936,6.2,3713.41,2.5,South East,12.0,4.0,5.0,3.0,0.0,2020.0,5.0,False,11,0,1,0,0,1,0,False,False,True,2,17.989897843244528,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",36000000.0,8571428.57142857,4.2,2515.54,2.5,South West,13.0,4.0,5.0,1.0,2.0,2020.0,5.0,False,11,1,1,0,0,1,0,False,False,True,3,17.399029524198163,High-End,0
house, House for Sale,Lalitpur,Khumaltar,"Khumaltar, Lalitpur",58000000.0,11600000.0,5.0,3600.0,3.5,North West,14.0,6.0,6.0,1.0,1.0,2021.0,4.0,False,11,0,1,0,0,1,0,False,False,False,2,17.87595358575207,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",25000000.0,7812500.0,3.2,2683.24,3.5,South East,12.0,5.0,7.0,3.0,3.0,2021.0,4.0,False,11,0,1,1,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",48000000.0,9230769.23076923,5.2,3737.37,3.0,South East,16.0,4.0,4.0,2.0,2.0,2020.0,5.0,False,11,0,1,0,0,1,0,False,False,True,2,17.6867115897055,Ultra-Luxury,0
house,4 BHK House for Sale,Kathmandu,Tahachal,"Tahachal, Kathmandu",66500000.0,16219512.195121951,4.1,2946.77,3.0,North,20.0,4.0,5.0,2.0,3.0,2020.0,5.0,False,11,0,1,0,0,1,0,False,False,True,2,18.012712520663676,Ultra-Luxury,0
house,Bungalow House for Sale,Kathmandu,Dhapasi,"Dhapasi, Kathmandu",133000000.0,13854166.666666668,9.6,5749.8,2.5,North East,14.0,5.0,5.0,2.0,3.0,2020.0,5.0,False,11,0,1,1,0,1,1,False,False,True,4,18.705859693704824,Ultra-Luxury,0
house,Villa House for Sale,Lalitpur,Thecho,"Thecho, Lalitpur",85000000.0,12142857.142857144,7.0,5869.59,3.5,East,12.0,5.0,7.0,3.0,3.0,2021.0,4.0,False,11,0,1,0,0,1,0,False,False,True,2,18.258161826219297,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",55000000.0,11000000.0,5.0,2994.69,2.5,North East,12.0,4.0,5.0,2.0,2.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.822843761378564,Ultra-Luxury,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",47500000.0,15322580.64516129,3.1,1856.71,2.5,South,20.0,4.0,4.0,1.0,1.0,2018.0,7.0,False,11,0,1,1,0,1,0,False,False,True,3,17.6762402900575,Ultra-Luxury,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",29500000.0,9218750.0,3.2,2299.92,3.0,South,13.0,5.0,4.0,1.0,3.0,2018.0,7.0,False,11,1,1,0,0,1,0,False,False,True,3,17.19990085520835,Mid-Range,0
